[10:59:55.569] [INFO   ] thread main starting.
[10:59:55.569] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:59:55.569] [SEVERE ] configuration file was loaded from resources directory.
[10:59:56.064] [INFO   ] thread dealer starting.
[10:59:56.199] [SEVERE ] placing card 39 in slot 0
[10:59:56.215] [SEVERE ] player 4 placing token on slot 0
[10:59:56.215] [SEVERE ] player 3 placing token on slot 0
[10:59:56.215] [SEVERE ] player 2 placing token on slot 0
[10:59:56.215] [SEVERE ] player 1 placing token on slot 0
[10:59:56.216] [SEVERE ] removing player 1 token from slot 0
[10:59:56.216] [SEVERE ] removing player 3 token from slot 0
[10:59:56.219] [SEVERE ] player 1 placing token on slot 0
[10:59:56.217] [SEVERE ] removing player 2 token from slot 0
[10:59:56.219] [SEVERE ] removing player 1 token from slot 0
[10:59:56.219] [SEVERE ] player 3 placing token on slot 0
[10:59:56.220] [SEVERE ] player 1 placing token on slot 0
[10:59:56.220] [SEVERE ] player 2 placing token on slot 0
[10:59:56.220] [SEVERE ] removing player 1 token from slot 0
[10:59:56.220] [SEVERE ] removing player 4 token from slot 0
[10:59:56.220] [SEVERE ] removing player 3 token from slot 0
[10:59:56.221] [SEVERE ] removing player 2 token from slot 0
[10:59:56.221] [SEVERE ] player 1 placing token on slot 0
[10:59:56.221] [SEVERE ] player 2 placing token on slot 0
[10:59:56.222] [SEVERE ] removing player 1 token from slot 0
[10:59:56.222] [SEVERE ] player 1 placing token on slot 0
[10:59:56.222] [SEVERE ] removing player 2 token from slot 0
[10:59:56.222] [SEVERE ] player 4 placing token on slot 0
[10:59:56.222] [SEVERE ] player 3 placing token on slot 0
[10:59:56.222] [SEVERE ] removing player 1 token from slot 0
[10:59:56.223] [SEVERE ] removing player 4 token from slot 0
[10:59:56.223] [SEVERE ] removing player 3 token from slot 0
[10:59:56.222] [SEVERE ] player 2 placing token on slot 0
[10:59:56.224] [SEVERE ] player 4 placing token on slot 0
